Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25084096_1	36.68709734220451	50.0	212.20037637554708	251	9.090909090909092	2018197.0
SRR25084096_2	34.41681099730225	50.0	197.39171200829256	222	18.181818181818183	2018197.0
SRR25084097_1	28.232244568271923	50.0	215.36392181704468	251	9.090909090909092	1243954.0
SRR25084097_2	26.13869713231948	50.0	198.81230495661416	222	18.181818181818183	1243954.0
SRR25084098_1	22.34029485720899	50.0	228.61325217458463	251	9.090909090909092	828664.0
SRR25084098_2	20.19146002336322	50.0	208.4302950291071	227	18.181818181818183	828664.0
SRR25084099_1	21.500400827110127	50.0	219.14061148724517	251	0.0	837172.0
SRR25084099_2	19.330286935726875	50.0	199.40196399306237	222	18.181818181818183	837172.0
SRR25084100_1	20.200757324477337	50.0	208.24702562429982	251	9.090909090909092	775709.0
SRR25084100_2	18.82979047875061	50.0	193.88591082480673	217	18.181818181818183	775709.0
SRR25084101_1	36.095148328700525	50.0	221.4890943321221	251	9.090909090909092	1876593.0
SRR25084101_2	33.574420159780814	50.0	204.98102412190602	227	18.181818181818183	1876593.0
SRR25084102_1	24.123039079626153	50.0	210.62462629732553	251	9.090909090909092	987416.0
SRR25084102_2	22.46320718506199	50.0	195.29334242102618	222	18.181818181818183	987416.0
SRR25084103_1	25.355157890489792	50.0	207.9411288722492	251	0.0	1159210.0
SRR25084103_2	23.06318041022972	50.0	189.24614867021506	212	18.181818181818183	1159210.0
